,num_expediente,fecha,hora,localizacion,numero,distrito,tipo_accidente,estado_meteorológico,tipo_vehiculo,tipo_persona,rango_edad,sexo,lesividad,coordenada_x_utm,coordenada_y_utm,positiva_alcohol,positiva_droga
1263,2020S008841,26/06/2020,2:01:00,PASEO. GENERAL MARTINEZ CAMPOS / CALL. FORTUNY,48,CHAMBERÍ,Caída,Clear,Bicicleta EPAC (pedaleo asistido),Conductor,De 30 a 34 años,Mujer,7.0,40.43506312624551,-3.689999109103301,N,
1264,2020S008849,25/06/2020,12:10:00,"CALL. ANASTASIA LOPEZ, 17",17,FUENCARRAL-EL PARDO,Caída,Clear,Bicicleta,Conductor,De 10 a 14 años,Hombre,7.0,40.49525953927819,-3.6909954990197322,N,
1265,2020S008849,25/06/2020,12:10:00,"CALL. ANASTASIA LOPEZ, 17",17,FUENCARRAL-EL PARDO,Caída,Clear,Bicicleta,Peatón,De 35 a 39 años,Mujer,14.0,40.49525953927819,-3.6909954990197322,N,
1266,2020S008858,26/06/2020,9:05:00,CALL. REAL DE ARGANDA / CALL. PEÑARANDA DE BRACAMONTE,78,VILLA DE VALLECAS,Colisión lateral,Clear,Bicicleta,Conductor,De 60 a 64 años,Hombre,7.0,40.37547702541689,-3.602035448478577,N,
1267,2020S008876,25/06/2020,22:00:00,"PASEO. CASTELLANA, 97",97,TETUÁN,Alcance,Clear,Bicicleta EPAC (pedaleo asistido),Conductor,De 45 a 49 años,Hombre,,40.45254445023225,-3.691389525194278,N,
1268,2020S008898,26/06/2020,22:00:00,"PASEO. CASTELLANA, 1",1,CHAMBERÍ,Colisión fronto-lateral,Clear,Bicicleta,Conductor,De 21 a 24 años,Hombre,7.0,40.425930953302824,-3.690752431692179,N,
1269,2020S008933,27/06/2020,23:00:00,"CALL. EMBAJADORES, 324",324,PUENTE DE VALLECAS,Colisión fronto-lateral,Clear,Bicicleta,Conductor,De 25 a 29 años,Mujer,2.0,40.37383457289373,-3.6826926059052423,N,
1270,2020S008941,20/06/2020,9:15:00,CARRETERA CIUDAD UNIVERSITARIA,0,MONCLOA-ARAVACA,Caída,Clear,Bicicleta,Conductor,De 35 a 39 años,Mujer,6.0,40.448713342064394,-3.762097422971425,N,
1271,2020S008945,21/06/2020,11:00:00,PASEO DEL EMBARCADERO,0,MONCLOA-ARAVACA,Caída,Clear,Bicicleta,Conductor,Más de 74 años,Hombre,6.0,40.448713342064394,-3.762097422971425,N,
1272,2020S008948,21/06/2020,12:00:00,CARRETERA DEL ZARZON-AVENIDA EUROPA,0,MONCLOA-ARAVACA,Caída,Clear,Bicicleta,Conductor,De 60 a 64 años,Hombre,6.0,40.448713342064394,-3.762097422971425,N,
1273,2020S008950,28/06/2020,7:35:00,CALL. ARTURO SORIA / CALL. CARLOTA O'NEILL,75,CIUDAD LINEAL,Colisión fronto-lateral,Clear,Bicicleta,Conductor,De 45 a 49 años,Hombre,7.0,40.44557388627326,-3.6476069022742315,N,
1274,2020S008965,27/06/2020,14:00:00,"CALL. PARROCO EUSEBIO CUENCA, 62",62,ARGANZUELA,Caída,Clear,Bicicleta,Conductor,De 10 a 14 años,Mujer,7.0,40.39395348488079,-3.6880174654775066,N,
